Designator,X,Y,Angle
U170,59.77899100000002,65.837336,96.0
U132,148.89999999999998,99.79999999999998,0.0
U35,66.70999999999998,123.97,90.0
U183,51.099999999999994,34.0,2.0
U64,107.89999999999998,104.79999999999998,180.0
U31,67.57,135.82999999999998,77.0
U195,21.19999999999999,51.69999999999999,-85.0
U93,175.7,91.92000000000002,62.0
U133,145.89999999999998,99.79999999999998,0.0
U49,63.24860000000001,104.25233999999998,-160.0
U68,119.89999999999998,107.79999999999998,-150.0
U32,66.89999999999998,132.79999999999998,80.0
U70,125.92000000000002,111.6,-150.0
U166,57.644052999999985,77.83293900000001,95.0
U178,62.80000000000001,41.77999999999997,90.0
U215,41.60883200000001,111.61583099999999,-110.0
U61,99.05000000000001,105.91,167.0
U109,142.07999999999998,60.25,-15.0
U208,32.900000000000006,90.89999999999998,-110.0
U19,69.70999999999998,168.95999999999998,180.0
U205,29.012339999999995,81.86859899999996,-110.0
U52,72.10000000000002,107.17499999999998,-165.0
U47,57.19885199999999,102.24382599999998,-165.0
U128,156.991554,91.40936499999998,-100.0
U152,88.621286,91.87952200000001,22.0
U2,45.30000000000001,120.39999999999998,-110.0
U36,65.89999999999998,120.79999999999998,70.0
U155,80.19999999999999,87.5,25.0
U134,142.89999999999998,99.79999999999998,0.0
U34,66.62,126.95999999999998,90.0
U40,54.889999999999986,113.85999999999999,20.0
U10,55.439414,144.67,-110.0
U118,129.36,79.01999999999998,-145.0
U113,130.97558500000002,65.695833,-30.0
U203,26.599999999999994,75.89999999999998,-110.0
U24,75.03370799999999,156.75828399999997,80.0
U18,66.27999999999997,168.14,-160.0
U158,70.75999999999999,84.74000000000001,-20.0
U97,168.35000000000002,80.25,65.0
U202,25.30000000000001,72.89999999999998,-110.0
U173,61.18000000000001,56.849999999999966,96.0
U141,121.89999999999998,99.79999999999998,0.0
U117,127.13,76.43,-120.0
U41,52.00999999999999,112.72,26.0
U63,104.89999999999998,104.91,175.0
U176,62.39999999999998,47.789999999999964,93.0
U136,136.89999999999998,99.79999999999998,0.0
U185,45.19999999999999,33.89999999999998,0.0
U115,126.61416700000001,69.86441500000001,-65.0
U23,75.69999999999999,159.79999999999998,80.0
U177,62.64203500000002,44.82761199999999,92.0
U65,110.89999999999998,104.79999999999998,180.0
U45,50.79378199999999,102.13217999999998,150.0
U199,22.099999999999994,63.69999999999999,-100.0
U54,78.05000000000001,108.17999999999998,180.0
U1,44.0,117.29999999999998,-110.0
U78,149.89999999999998,117.23999999999998,180.0
U30,68.44999999999999,138.86999999999998,75.0
U138,130.89999999999998,99.79999999999998,0.0
U27,71.38,147.89999999999998,70.0
U159,68.10000000000002,86.52999999999997,-48.0
U26,72.50602800000001,150.92065799999997,68.0
U165,57.26405299999999,80.88293899999996,95.0
U62,101.98000000000002,105.28999999999999,170.0
U210,35.41234,96.79999999999998,-110.0
U56,83.97750000000002,108.2225,180.0
U12,57.70883199999997,150.57,-110.0
U51,69.20090699999997,106.296086,-165.0
U77,146.89999999999998,117.23999999999998,180.0
U91,178.46608600000002,97.81090699999999,75.0
U105,154.02999999999997,59.329999999999984,10.0
U90,178.89999999999998,100.79999999999998,90.0
U4,47.91234,126.46859899999998,-110.0
U104,157.10000000000002,60.22999999999996,30.0
U126,153.89999999999998,85.80000000000001,-145.0
U161,62.69999999999999,90.09999999999997,0.0
U111,136.32,62.639999999999986,-30.0
U38,60.81,115.98999999999998,20.0
U198,21.47,60.68000000000001,-97.0
U171,60.19999999999999,62.80000000000001,96.0
U50,66.22500000000002,105.35,-162.0
U110,139.07999999999998,61.349999999999966,-20.0
U150,94.75,94.13999999999999,18.0
U116,126.09750000000003,73.27749999999997,-90.0
U112,133.64,64.17000000000002,-30.0
U87,175.70502599999998,109.294975,135.0
U82,161.9375,116.61249999999998,170.0
U22,76.00999999999999,162.76,90.0
U29,69.44,141.89,73.0
U94,173.57999999999998,89.0,55.0
U85,170.676148,113.21882699999998,150.0
U79,152.89999999999998,117.23999999999998,180.0
U76,143.89999999999998,117.1,180.0
